"obs_n";"study_id";"study_name";"effect";"se";"t_stat";"est_agg_city";"est_agg_subregion";"est_agg_region";"est_agg_country";"est_agg_continent";"n_obs";"regressands";"reg_df";"study_size";"years_of_schooling";"years_of_experience";"schooling_years";"schooling_levels";"wage_log_hourly";"wage_log_daily";"wage_log_monthly";"wage_mean_annual_earnings";"data_type_micro";"data_type_survey";"data_type_national_register";"data_cross_section";"data_panel";"data_avgyear";"no_ed";"prim_ed";"sec_ed";"higher_ed";"wage_earners";"self_employed";"gender_male";"gender_female";"private_sector";"public_sector";"ethnicity_caucasian";"ethnicity_other";"sector_rural";"sector_urban";"country";"region_advanced_economies";"region_east_asia_and_pacific";"region_europe_and_central_asia";"region_latin_america_and_caribbean";"region_middle_east_and_north_africa";"region_south_asia";"region_sub_saharan_africa";"income_high";"income_middle";"income_low";"med_exp";"min_wage";"freedom_index";"mean_age";"method_ols";"method_cohort_fe";"method_2sls";"method_heckman";"method_probit";"method_IV";"ability_direct";"ability_proxy";"ability_uncontrolled";"ability_unmentioned";"instr_parents_ed";"instr_distance_to_school";"instr_other";"age_control";"age_sq_control";"exp_control";"exp_sq_control";"ethnicity_control";"health_control";"gender_control";"marriage_control";"occupation_control";"firm_char_control";"area_control";"macro_var_control";"impact_factor";"citations";"published";"unpublished";"pub_year";"X"
270;18;"Giles et al. (2019)";11.9;0.7;17;1;0;0;0;0;3610;5;3604;48;17;21.275;1;0;1;0;0;0;0;1;0;1;0;2001;"0.01";"0.41725000000000001";"0.48";"9.2749999999999999E-2";"1";"0";"0.48";"0.52";NA;NA;0;1;"0";"1";"China";0;1;0;0;0;0;0;0;1;0;"869";"116";0.293;44.275;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0.217;129;1;0;40;"X"
271;18;"Giles et al. (2019)";5.3;0.8;6.625;1;0;0;0;0;3610;5;3604;48;7;31.275;1;0;1;0;0;0;0;1;0;1;0;2001;"0.01";"0.41725000000000001";"0.48";"9.2749999999999999E-2";"1";"0";"0.48";"0.52";NA;NA;0;1;"0";"1";"China";0;1;0;0;0;0;0;0;1;0;"869";"116";0.293;44.275;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0.217;129;1;0;40;"X"
272;18;"Giles et al. (2019)";9.9;3.9;2.53846153846154;1;0;0;0;0;3610;5;3604;48;17;21.275;1;0;1;0;0;0;0;1;0;1;0;2001;"0.01";"0.41725000000000001";"0.48";"9.2749999999999999E-2";"1";"0";"0.48";"0.52";NA;NA;0;1;"0";"1";"China";0;1;0;0;0;0;0;0;1;0;"869";"116";0.293;44.275;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0.217;129;1;0;40;"X"
273;18;"Giles et al. (2019)";7;2.7;2.59259259259259;1;0;0;0;0;3610;5;3604;48;7;31.275;1;0;1;0;0;0;0;1;0;1;0;2001;"0.01";"0.41725000000000001";"0.48";"9.2749999999999999E-2";"1";"0";"0.48";"0.52";NA;NA;0;1;"0";"1";"China";0;1;0;0;0;0;0;0;1;0;"869";"116";0.293;44.275;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0.217;129;1;0;40;"X"
274;18;"Giles et al. (2019)";9.6;3.7;2.59459459459459;1;0;0;0;0;3598;11;3586;48;17;21.275;1;0;1;0;0;0;0;1;0;1;0;2001;"0.01";"0.41725000000000001";"0.48";"9.2749999999999999E-2";"1";"0";"0.48";"0.52";NA;NA;0;1;"0";"1";"China";0;1;0;0;0;0;0;0;1;0;"869";"116";0.293;44.275;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0.217;129;1;0;40;"X"
275;18;"Giles et al. (2019)";7.4;2.7;2.74074074074074;1;0;0;0;0;3598;11;3586;48;7;31.275;1;0;1;0;0;0;0;1;0;1;0;2001;"0.01";"0.41725000000000001";"0.48";"9.2749999999999999E-2";"1";"0";"0.48";"0.52";NA;NA;0;1;"0";"1";"China";0;1;0;0;0;0;0;0;1;0;"869";"116";0.293;44.275;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0.217;129;1;0;40;"X"
276;18;"Giles et al. (2019)";9.8;4;2.45;1;0;0;0;0;3598;14;3583;48;17;21.275;1;0;1;0;0;0;0;1;0;1;0;2001;"0.01";"0.41725000000000001";"0.48";"9.2749999999999999E-2";"1";"0";"0.48";"0.52";NA;NA;0;1;"0";"1";"China";0;1;0;0;0;0;0;0;1;0;"869";"116";0.293;44.275;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0.217;129;1;0;40;"X"
277;18;"Giles et al. (2019)";7;2.7;2.59259259259259;1;0;0;0;0;3598;14;3583;48;7;31.275;1;0;1;0;0;0;0;1;0;1;0;2001;"0.01";"0.41725000000000001";"0.48";"9.2749999999999999E-2";"1";"0";"0.48";"0.52";NA;NA;0;1;"0";"1";"China";0;1;0;0;0;0;0;0;1;0;"869";"116";0.293;44.275;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;0;0;1;0.217;129;1;0;40;"X"
278;19;"van der Hoeven (2013)";1.58424618625637;4.44382783688028;0.356504852215103;0;1;0;0;0;4880;29;4850;16;6;37.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
279;19;"van der Hoeven (2013)";1.32998635526957;4.52855755572579;0.293688738390434;0;1;0;0;0;4880;29;4850;16;12;31.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
280;19;"van der Hoeven (2013)";3.12768066320763;6.78704251313782;0.460831158365859;0;1;0;0;0;4880;29;4850;16;16;27.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
281;19;"van der Hoeven (2013)";4.5673010915692;6.26966555294932;0.728476033210526;0;1;0;0;0;4880;29;4850;16;21;22.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
282;19;"van der Hoeven (2013)";1.16078834050328;4.19169561191142;0.276925723615213;0;1;0;0;0;4880;29;4850;16;6;37.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
283;19;"van der Hoeven (2013)";2.89980478114995;3.82980316306605;0.757168099163728;0;1;0;0;0;4880;29;4850;16;12;31.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
284;19;"van der Hoeven (2013)";9.0215836453789;5.1295224257327;1.75875703362195;0;1;0;0;0;4880;29;4850;16;16;27.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
285;19;"van der Hoeven (2013)";10.9952810416232;3.8798791877961;2.83392356035419;0;1;0;0;0;4880;29;4850;16;21;22.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
286;19;"van der Hoeven (2013)";1.39385068411813;4.48350811390462;0.310883943712603;0;1;0;0;0;4821;31;4789;16;6;37.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
287;19;"van der Hoeven (2013)";1.39696087724284;4.51473411326116;0.309422624278035;0;1;0;0;0;4821;31;4789;16;12;31.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
288;19;"van der Hoeven (2013)";3.19826853422114;6.77955731041806;0.471751825050052;0;1;0;0;0;4821;31;4789;16;16;27.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
289;19;"van der Hoeven (2013)";4.38937887656423;6.32272973920781;0.694222125191483;0;1;0;0;0;4821;31;4789;16;21;22.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
290;19;"van der Hoeven (2013)";1.24556407114276;4.16974479897929;0.298714701064597;0;1;0;0;0;4821;31;4789;16;6;37.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
291;19;"van der Hoeven (2013)";3.1368104442244;3.78297180252467;0.829192129354749;0;1;0;0;0;4821;31;4789;16;12;31.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
292;19;"van der Hoeven (2013)";9.03894331000039;5.12571309732145;1.76345088739436;0;1;0;0;0;4821;31;4789;16;16;27.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
293;19;"van der Hoeven (2013)";10.9926455444508;3.88126017087269;2.83223619662144;0;1;0;0;0;4821;31;4789;16;21;22.57;0;1;0;0;1;0;0;1;0;1;0;2011;"0.3972";"0.26300000000000001";"0.2162";"0.1236";"1";"0";"0.18748699999999999";"0.81251300000000004";"0.498";"0.502";0;1;"0.32400000000000001";"0.67600000000000005";"Nigeria";0;0;0;0;0;0;1;0;1;0;"1894";"75";0.907;49.57;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;34;"X"
294;20;"Acemoglu & Angrist (1999)";7.3;0.03;243.333333333333;0;0;0;1;0;609852;3;609848;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
295;20;"Acemoglu & Angrist (1999)";6.8;0.03;226.666666666667;0;0;0;1;0;626511;3;626507;16;10.52;28.03;1;0;0;1;0;0;1;0;0;0;1;1965;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"16678";"1863";0.884;44.55;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
296;20;"Acemoglu & Angrist (1999)";7.5;0.03;250;0;0;0;1;0;729695;3;729691;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
297;20;"Acemoglu & Angrist (1999)";5.5;0.2;27.5;0;0;0;1;0;16659;3;16655;16;6.97;31.19;1;0;0;1;0;0;1;0;0;0;1;1950;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15635";"810";0.744;44.16;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
298;20;"Acemoglu & Angrist (1999)";6.9;0.1;69;0;0;0;1;0;72344;3;72340;16;10.52;28.03;1;0;0;1;0;0;1;0;0;0;1;1960;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"16156";"1588";0.868;44.55;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
299;20;"Acemoglu & Angrist (1999)";7.6;0.1;76;0;0;0;1;0;161029;3;161025;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
300;20;"Acemoglu & Angrist (1999)";7.5;0.1;75;0;0;0;1;0;376479;3;376475;16;12.62;26.04;1;0;0;1;0;0;1;0;0;0;1;1980;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"19291";"1766";0.919;44.66;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
301;20;"Acemoglu & Angrist (1999)";10.2;0.1;102;0;0;0;1;0;103184;3;103180;16;13.7;24.4;1;0;0;1;0;0;1;0;0;0;1;1990;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"24883";"1325";0.921;44.1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
302;20;"Acemoglu & Angrist (1999)";7.4;1.2;6.16666666666667;0;0;0;1;0;609852;10;609841;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
303;20;"Acemoglu & Angrist (1999)";7.4;1.2;6.16666666666667;0;0;0;1;0;609852;10;609841;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
304;20;"Acemoglu & Angrist (1999)";7.5;1.2;6.25;0;0;0;1;0;609852;11;609840;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
305;20;"Acemoglu & Angrist (1999)";6;1.3;4.61538461538461;0;0;0;1;0;609852;12;609839;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
306;20;"Acemoglu & Angrist (1999)";7.3;0.03;243.333333333333;0;0;0;1;0;609852;9;609842;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
307;20;"Acemoglu & Angrist (1999)";7.3;0.03;243.333333333333;0;0;0;1;0;609852;9;609842;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
308;20;"Acemoglu & Angrist (1999)";7.3;0.03;243.333333333333;0;0;0;1;0;609852;10;609841;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
309;20;"Acemoglu & Angrist (1999)";7.3;0.03;243.333333333333;0;0;0;1;0;609852;12;609839;16;11.59;27.15;1;0;0;1;0;0;1;0;0;0;1;1970;NA;NA;NA;NA;NA;NA;"1";"0";NA;NA;0;1;NA;NA;"United States";1;0;0;0;0;0;0;1;0;0;"15553";"1935";0.897;44.74;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;591;0;1;20;"X"
310;21;"Vivatsurakit & Vechbanyongratana (2020)";5;0.1;50;0;0;1;0;0;53044;14;53029;12;7.804;30.79;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"0.505";"0.495";"1";"0";0;1;"0.375";"0.625";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;44.594;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
311;21;"Vivatsurakit & Vechbanyongratana (2020)";7.1;0.1;71;0;0;1;0;0;13870;12;13857;12;10.032;25.486;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"0.52";"0.48";"1";"0";0;1;"0.378";"0.622";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;41.518;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
312;21;"Vivatsurakit & Vechbanyongratana (2020)";4.9;0.1;49;0;0;1;0;0;18754;12;18741;12;6.308;32.466;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"0.57200000000000006";"0.42799999999999999";"1";"0";0;1;"0.45799999999999996";"0.54200000000000004";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;44.774;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
313;21;"Vivatsurakit & Vechbanyongratana (2020)";3.5;0.2;17.5;0;0;1;0;0;20420;12;20407;12;7.666;32.853;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"0.43300000000000005";"0.56699999999999995";"1";"0";0;1;"0.29600000000000004";"0.70399999999999996";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;46.519;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
314;21;"Vivatsurakit & Vechbanyongratana (2020)";13.6;1.5;9.06666666666667;0;0;1;0;0;53044;14;53029;12;7.804;30.79;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"0.505";"0.495";"1";"0";0;1;"0.375";"0.625";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;44.594;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
315;21;"Vivatsurakit & Vechbanyongratana (2020)";14.6;1.5;9.73333333333333;0;0;1;0;0;13870;12;13857;12;10.032;25.486;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"0.52";"0.48";"1";"0";0;1;"0.378";"0.622";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;41.518;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
316;21;"Vivatsurakit & Vechbanyongratana (2020)";11.2;3;3.73333333333333;0;0;1;0;0;18754;12;18741;12;6.308;32.466;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"0.57200000000000006";"0.42799999999999999";"1";"0";0;1;"0.45799999999999996";"0.54200000000000004";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;44.774;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
317;21;"Vivatsurakit & Vechbanyongratana (2020)";11.9;3.6;3.30555555555556;0;0;1;0;0;20420;12;20407;12;7.666;32.853;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"0.43300000000000005";"0.56699999999999995";"1";"0";0;1;"0.29600000000000004";"0.70399999999999996";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;46.519;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
318;21;"Vivatsurakit & Vechbanyongratana (2020)";5.1;0.1;51;0;0;1;0;0;26789;12;26776;12;7.804;30.79;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"1";"0";"1";"0";0;1;"0.375";"0.625";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;44.594;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
319;21;"Vivatsurakit & Vechbanyongratana (2020)";4.9;0.1;49;0;0;1;0;0;26255;12;26242;12;7.804;30.79;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"0";"1";"1";"0";0;1;"0.375";"0.625";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;44.594;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
320;21;"Vivatsurakit & Vechbanyongratana (2020)";12.2;1.7;7.17647058823529;0;0;1;0;0;26789;12;26776;12;7.804;30.79;1;0;0;0;1;0;0;0;1;0;1;2013;"0.14000000000000001";"0.42";"0.33";"0.11";"1";"0";"1";"0";"1";"0";0;1;"0.375";"0.625";"Thailand";0;1;0;0;0;0;0;0;1;0;"2870";"291";0.514;44.594;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;0.013;3;1;0;41;"X"
